2025-08-26 20:55:10,314 INFO    MainThread:361201 [wandb_setup.py:_flush():80] Current SDK version is 0.21.1
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_setup.py:_flush():80] Configure stats pid to 361201
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_setup.py:_flush():80] Loading settings from /homes/dkreinov/.config/wandb/settings
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_setup.py:_flush():80] Loading settings from /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/settings
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250826_205510-lfkv11mi/logs/debug.log
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /localdrive/users/dkreinov/quickdraw-mobilevit-quant/experiments/wandb/run-20250826_205510-lfkv11mi/logs/debug-internal.log
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_init.py:init():830] calling init triggers
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_init.py:init():835] wandb.init called with sweep_config: {'learning_rate': 0.0004470975417100907, 'warmup_epochs': 5, 'weight_decay': 0.06801110881152204}
config: {'_wandb': {}}
2025-08-26 20:55:10,315 INFO    MainThread:361201 [wandb_init.py:init():871] starting backend
2025-08-26 20:55:10,526 INFO    MainThread:361201 [wandb_init.py:init():874] sending inform_init request
2025-08-26 20:55:10,530 INFO    MainThread:361201 [wandb_init.py:init():882] backend started and connected
2025-08-26 20:55:10,531 INFO    MainThread:361201 [wandb_run.py:_config_callback():1380] config_cb None None {'learning_rate': 0.0004470975417100907, 'warmup_epochs': 5, 'weight_decay': 0.06801110881152204}
2025-08-26 20:55:10,533 INFO    MainThread:361201 [wandb_init.py:init():953] updated telemetry
2025-08-26 20:55:10,545 INFO    MainThread:361201 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-08-26 20:55:11,106 INFO    MainThread:361201 [wandb_init.py:init():1029] starting run threads in backend
2025-08-26 20:55:11,414 INFO    MainThread:361201 [wandb_run.py:_console_start():2494] atexit reg
2025-08-26 20:55:11,414 INFO    MainThread:361201 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-08-26 20:55:11,414 INFO    MainThread:361201 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-08-26 20:55:11,414 INFO    MainThread:361201 [wandb_run.py:_redirect():2434] Redirects installed.
2025-08-26 20:55:11,417 INFO    MainThread:361201 [wandb_init.py:init():1075] run started, returning control to user process
2025-08-26 21:00:46,666 INFO    MsgRouterThr:361201 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
